#,Event UUID,Title,Subtitle,Discipline,Competition,Stage,Group #,Time,Performance #,Ranked,Rank,Mark Total,Team,Team Rank,Team Mark,Code,Athlete #,External ID,Surname,Given Name,Representing,Date of Birth,Sex,Routine #,Mark,# Elements,Bonus,Penalty,Judge,∑,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,L,A
1,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,1,TRUE,5,98750,0,99,0,11,1,0,stevens,Jessica,USA,01/01/0001,,1,47200,10,0,0,E1,77,0,2,1,1,1,2,3,4,3,4,2,
80,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,4,TRUE,4,98905,0,99,0,6,1,0,SMITH,Samantha,CAN,01/01/0001,,2,51795,10,0,0,H,830,830,0,,,,,,,,,,
81,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,E1,86,0,1,1,1,1,1,2,2,2,3,0,
82,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,E2,85,0,1,1,1,1,0,2,3,2,4,0,
83,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,E3,85,0,1,1,0,1,0,2,2,2,5,1,
84,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,E4,89,0,0,1,1,0,0,2,2,2,3,0,
85,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,E5,87,0,1,1,1,1,0,2,2,2,3,0,
86,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,E8,87,0,1,1,0,1,0,2,2,2,3,1,
87,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,E∑,174,0,2,2,2,2,0,4,4,4,6,0,0
88,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,T,16020,,,,,,,,,,,,
89,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,D,46,0,,,,,,,,,,,
90,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,1,47320,10,0,0,H,930,930,0,,,,,,,,,,
91,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,E1,72,3,2,3,3,3,2,3,2,2,4,1,
92,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,E2,75,2,2,3,2,3,2,3,2,2,4,0,
93,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,E3,75,3,2,3,2,3,2,3,2,2,3,0,
94,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,E4,77,2,2,3,3,2,1,3,2,2,3,0,
95,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,E5,76,2,3,3,2,3,1,3,1,2,4,0,
96,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,E8,75,3,2,3,3,2,2,3,2,2,3,0,
97,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,E∑,149,5,4,6,5,6,4,6,4,4,7,0,0
98,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,T,14555,,,,,,,,,,,,
99,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,D,134,0,,,,,,,,,,,
100,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,5,TRUE,2,99375,0,99,0,4,1,0,GOMES,Camilla,BRA,01/01/0001,,2,52055,10,0,0,H,920,920,0,,,,,,,,,,
101,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,E1,63,4,4,3,3,5,3,3,3,2,4,3,
102,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,E2,61,4,3,3,3,5,4,4,3,3,4,3,
103,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,E3,64,4,3,3,2,5,4,3,4,3,4,1,
104,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,E4,67,3,3,2,3,5,3,2,3,3,4,2,
105,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,E5,62,4,3,3,3,5,4,3,4,2,4,3,
106,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,E8,64,3,3,3,2,5,4,3,4,2,4,3,
107,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,E∑,124,8,6,6,6,10,8,6,7,5,8,6,0
108,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,T,14465,,,,,,,,,,,,
109,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,D,38,0,,,,,,,,,,,
110,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,1,39965,10,0,0,H,930,930,0,,,,,,,,,,
111,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,E1,11,4,5,,,,,,,,,,
112,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,E2,12,3,5,,,,,,,,,,
113,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,E3,11,4,5,,,,,,,,,,
114,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,E4,12,4,4,,,,,,,,,,
115,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,E5,12,4,4,,,,,,,,,,
116,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,E8,11,4,5,,,,,,,,,,
117,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,E∑,22,8,10,0,0,0,0,0,0,0,0,0,0
118,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,T,2820,,,,,,,,,,,,
119,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,D,20,0,,,,,,,,,,,
120,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,6,TRUE,12,48485,0,99,0,8,1,0,GOMEZ,Maryann,DOM,01/01/0001,,2,8520,2,0,0,H,150,150,0,,,,,,,,,,
121,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,E1,82,1,2,1,1,1,2,3,2,2,3,0,
122,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,E2,78,0,1,1,2,2,1,4,3,3,4,1,
123,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,E3,80,1,2,1,2,1,1,3,2,3,4,0,
124,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,E4,85,1,0,1,1,1,1,2,2,2,3,1,
125,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,E5,86,0,0,0,1,1,1,3,2,2,3,1,
126,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,E8,85,1,1,0,1,1,1,3,2,2,3,0,
127,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,E∑,167,2,2,2,2,2,2,6,4,4,6,1,0
128,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,T,15340,,,,,,,,,,,,
129,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,D,50,0,,,,,,,,,,,
130,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,1,45740,10,0,0,H,870,870,0,,,,,,,,,,
131,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,E1,69,2,2,3,3,3,3,4,3,3,3,2,
132,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,E2,61,2,3,3,4,4,4,5,3,4,4,3,
133,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,E3,70,2,3,3,3,3,3,3,2,2,3,3,
134,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,E4,72,2,3,3,3,3,3,3,2,2,3,1,
135,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,E5,73,2,2,2,3,3,3,3,2,2,3,2,
136,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,E8,72,2,3,3,2,3,3,3,2,2,3,2,
137,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,E∑,142,4,6,6,6,6,6,6,4,4,6,4,0
138,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,T,14560,,,,,,,,,,,,
139,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,D,139,0,,,,,,,,,,,
140,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,7,TRUE,6,97000,0,99,0,10,1,0,AHSINGER,Nicole,USA,01/01/0001,,2,51260,10,0,0,H,860,860,0,,,,,,,,,,
141,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,E1,85,0,1,0,1,1,2,2,2,2,2,2,
142,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,E2,84,1,1,0,1,0,2,2,2,2,3,2,
143,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,E3,86,0,1,0,1,0,2,1,2,2,3,2,
144,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,E4,84,0,1,1,1,1,2,2,2,2,3,1,
145,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,E5,87,1,1,0,1,1,2,1,1,2,2,1,
146,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,E8,85,1,1,0,1,0,2,2,2,2,2,2,
147,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,E∑,169,1,2,0,2,1,4,4,4,4,5,4,0
148,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,T,15055,,,,,,,,,,,,
149,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,D,33,0,,,,,,,,,,,
150,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,1,44555,10,0,0,H,930,930,0,,,,,,,,,,
151,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,E1,85,2,1,2,0,1,1,2,2,1,3,0,
152,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,E2,84,2,2,2,0,1,1,1,2,2,3,0,
153,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,E3,79,3,2,3,1,1,1,2,2,2,4,0,
154,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,E4,79,3,2,3,1,1,1,2,3,2,3,0,
155,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,E5,82,2,2,3,1,1,0,2,2,2,3,0,
156,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,E8,81,2,1,2,1,1,2,2,3,2,3,0,
157,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,E∑,163,4,4,5,2,2,2,4,4,4,6,0,0
158,00276cc1-8288-429f-45ae-5d8bb2582c28,Juegos Pan American Games | Lima 2019 | GIMNASIA DE TRAMPOLÍN,4-5 August,TRA,Femenino,Qualification,1,,8,TRUE,7,95510,0,99,0,7,1,0,HERNANDEZ,Katish,COL,01/01/0001,,2,50955,10,0,0,T,14855,,,,,,,,,,,,
